Comment,Designator,Footprint,LCSC
100n,"C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
HRO-TYPE-C-31-M-12,IO1,HRO-TYPE-C-31-M-12,C165948
4.7u,C3,C_0402_1005Metric,C23733
5.1k,"R1,R2,R3,R4",R_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
500mA,F1,Fuse_1206_3216Metric,C2984676
1u,"C1,C2,C4",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23-3,C5446
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C80488
SW_PUSH,SW9,MX-Hotswap-1U,
SW_PUSH,SW19,MX-Hotswap-1U,
SW_PUSH,SW38,MX-Hotswap-1U,
SW_PUSH,SW14,MX-Hotswap-1U,
SW_PUSH,SW39,MX-Hotswap-1U,
SW_PUSH,SW40,MX-Hotswap-1U,
SW_PUSH,SW21,MX-Hotswap-1U,
SW_PUSH,SW56,MX-Hotswap-1U,
SW_PUSH,SW45,MX-Hotswap-1U,
SW_PUSH,SW30,MX-Hotswap-1U,
SW_PUSH,SW50,MX-Hotswap-1U,
SW_PUSH,SW33,MX-Hotswap-1U,
SW_PUSH,SW59,MX-Hotswap-1U,
SW_PUSH,SW58,MX-Hotswap-1U,
SW_PUSH,SW12,MX-Hotswap-1U,
SW_PUSH,SW32,MX-Hotswap-1U,
SW_PUSH,SW10,MX-Hotswap-1U,
SW_PUSH,SW22,MX-Hotswap-1U,
SW_PUSH,SW43,MX-Hotswap-1U,
SW_PUSH,SW8,MX-Hotswap-1U,
SW_PUSH,SW55,MX-Hotswap-1U,
SW_PUSH,SW44,MX-Hotswap-1U,
SW_PUSH,SW37,MX-Hotswap-1U,
SW_PUSH,SW1,MX-Hotswap-1U,
SW_PUSH,SW28,MX-Hotswap-1U,
SW_PUSH,SW47,MX-Hotswap-1U,
SW_PUSH,SW29,MX-Hotswap-1U,
SW_PUSH,SW31,MX-Hotswap-1U,
SW_PUSH,SW24,MX-Hotswap-1U,
SW_PUSH,SW27,MX-Hotswap-1U,
SW_PUSH,SW57,MX-Hotswap-1U,
SW_PUSH,SW13,MX-Hotswap-1U,
SW_PUSH,SW53,MX-Hotswap-1U,
SW_PUSH,SW34,MX-Hotswap-1U,
SW_PUSH,SW60,MX-Hotswap-1U,
SW_PUSH,SW17,MX-Hotswap-1U,
SW_PUSH,SW6,MX-Hotswap-1U,
SW_PUSH,SW41,MX-Hotswap-1U,
SW_PUSH,SW52,MX-Hotswap-1U,
SW_PUSH,SW25,MX-Hotswap-1U,
SW_PUSH,SW48,MX-Hotswap-1U,
SW_PUSH,SW42,MX-Hotswap-1U,
SW_PUSH,SW36,MX-Hotswap-1U,
SW_PUSH,SW7,MX-Hotswap-1U,
SW_PUSH,SW4,MX-Hotswap-1U,
SW_PUSH,SW3,MX-Hotswap-1U,
SW_PUSH,SW18,MX-Hotswap-1U,
SW_PUSH,SW11,MX-Hotswap-1U,
SW_PUSH,SW49,MX-Hotswap-1U,
SW_PUSH,SW16,MX-Hotswap-1U,
SW_PUSH,SW20,MX-Hotswap-1U,
SW_PUSH,SW46,MX-Hotswap-1U,
SW_PUSH,SW35,MX-Hotswap-1U,
SW_PUSH,SW15,MX-Hotswap-1U,
SW_PUSH,SW26,MX-Hotswap-1U,
SW_PUSH,SW2,MX-Hotswap-1U,
SW_PUSH,SW5,MX-Hotswap-1U,
SW_PUSH,SW23,MX-Hotswap-1U,
SW_PUSH,SW54,MX-Hotswap-1U,
SW_PUSH,SW51,MX-Hotswap-1U,
D_Small,D12,D3_SMD,
D_Small,D8,D3_SMD,
D_Small,D44,D3_SMD,
RST,RS1,ResetSW,
D_Small,D40,D3_SMD,
D_Small,D27,D3_SMD,
D_Small,D19,D3_SMD,
D_Small,D32,D3_SMD,
D_Small,D4,D3_SMD,
D_Small,D38,D3_SMD,
D_Small,D3,D3_SMD,
D_Small,D52,D3_SMD,
D_Small,D2,D3_SMD,
D_Small,D18,D3_SMD,
D_Small,D45,D3_SMD,
D_Small,D58,D3_SMD,
D_Small,D6,D3_SMD,
D_Small,D59,D3_SMD,
D_Small,D37,D3_SMD,
D_Small,D43,D3_SMD,
D_Small,D50,D3_SMD,
D_Small,D1,D3_SMD,
D_Small,D53,D3_SMD,
D_Small,D48,D3_SMD,
D_Small,D60,D3_SMD,
D_Small,D33,D3_SMD,
D_Small,D39,D3_SMD,
D_Small,D46,D3_SMD,
D_Small,D26,D3_SMD,
D_Small,D23,D3_SMD,
D_Small,D15,D3_SMD,
D_Small,D7,D3_SMD,
D_Small,D30,D3_SMD,
D_Small,D20,D3_SMD,
D_Small,D22,D3_SMD,
D_Small,D34,D3_SMD,
D_Small,D36,D3_SMD,
D_Small,D41,D3_SMD,
D_Small,D49,D3_SMD,
D_Small,D47,D3_SMD,
D_Small,D42,D3_SMD,
D_Small,D29,D3_SMD,
D_Small,D5,D3_SMD,
D_Small,D25,D3_SMD,
D_Small,D35,D3_SMD,
D_Small,D28,D3_SMD,
D_Small,D14,D3_SMD,
D_Small,D51,D3_SMD,
D_Small,D13,D3_SMD,
D_Small,D21,D3_SMD,
D_Small,D11,D3_SMD,
D_Small,D9,D3_SMD,
D_Small,D10,D3_SMD,
D_Small,D54,D3_SMD,
D_Small,D31,D3_SMD,
BOOT,BT1,ResetSW,
D_Small,D55,D3_SMD,
D_Small,D16,D3_SMD,
D_Small,D56,D3_SMD,
D_Small,D17,D3_SMD,
D_Small,D24,D3_SMD,
D_Small,D57,D3_SMD,
